$c_start hang88私人订制频道$c_end
澳门莲花卫视,http://epg.112114.xyz/lotus
douyu邵氏经典影院(代理)1,http://epg.112114.xyz/douyu/4246519
douyu邵氏老影院(代理)2,http://59.45.88.18:1005/dy.php?id=4246519
douyu【恐怖电影】鬼片僵尸灾难丧尸片(代理)【久了旧知】(310926),http://epg.112114.xyz/douyu/310926
douyu【恐怖电影】鬼片僵尸灾难丧尸片(代理)【久了旧知】(310926),http://epg.112114.xyz/douyu/310926
douyu周末电影院(3637726),http://epg.112114.xyz/douyu/3637726
douyu DYTV1斗鱼综合(代理),http://www.jhbwtv.top/douyuwwd/douyum3u8.php?id=7178622
douyu斗鱼综合(代理),http://110.40.252.242/iptv/douyu1.php?id=7178622
douyu林正英鬼片,http://epg.112114.xyz/douyu/218859
douyu ATV亚视经典剧集,http://epg.112114.xyz/douyu/6786937
douyu好莱坞大片,http://epg.112114.xyz/douyu/20415
douyu斗鱼港剧,http://epg.112114.xyz/douyu/4549169
bili邵氏老电影(代理)0,http://epg.112114.xyz/bili/21759196
bili邵氏老电影(代理)1,http://106.53.212.251/daili/bili.php?id=21759196
bili邵氏老电影(代理)2,http://92ltw.top/ah/SB438917874/blbl.php?id=21759196
bili邵氏老电影(凌姐:21759196)1,http://42.56.91.136/live-bvc/164219/live_97065163_17925468.m3u8
bili邵氏老电影(凌姐:21759196)2,http://42.56.91.136/live-bvc/745576/live_97065163_17925468_800.m3u8
bili邵氏老电影(凌姐:21759196)3,http://42.56.91.136/live-bvc/164219/live_97065163_17925468.m3u8
bili邵氏老电影2(凌姐:21759196)4,https://cn-jswx2-cmcc-live-01.bilivideo.com/live-bvc/64219/live_97065163_17925468.m3u8
bili邵氏老电影2(凌姐:21759196)5,https://cn-jswx2-cmcc-live-01.bilivideo.com/live-bvc/live_97065163_17925468.m3u8
bili邵氏老电影2(凌姐:21759196)6,https://cn-jxnc-cmcc-live-02.bilivideo.com/live-bvc/817178/live_97065163_17925468.m3u8
bili动作片专场,https://cn-jswx2-cmcc-live-01.bilivideo.com/live-bvc/904836/live_400392_6822511.m3u8
bili粤语残片,http://103.140.229.13/BOBO/bibi.php?id=3568283
bili林正英电影,https://cn-lnsy-cu-live-01.bilivideo.com/live-bvc//500112/live_381718124_59580738.m3u8
林正英鬼电影1080P,http://cn-lnsy-cu-live-02.bilivideo.com/live-bvc/801416/live_22989278_9714011_2500.m3u8
bili【林正英】香港鬼片僵尸女鬼24小时(代理),http://106.53.212.251/daili/bili.php?id=70155
bilibili 4K 经典电影,http://cn-lnsy-cu-live-01.bilivideo.com/live-bvc/live_372775317_46465575_800.m3u8
bilibili 4K UHD电影台,http://cn-lnsy-cu-live-01.bilivideo.com/live-bvc/live_372775317_46465575_4000.m3u8
bilibili香港电影1,https://cn-ahhf-cmcc-live-02.bilivideo.com/live-bvc/100589/live_362963326_14864388.m3u8
bilibili香港电影2,https://cn-jswx2-cmcc-live-01.bilivideo.com/live-bvc/360213/live_362963326_14864388.m3u8
bili粤语TVB电视,https://cn-jswx2-cmcc-live-01.bilivideo.com/live-bvc/live_2809908_2574327.m3u8
bili经典功夫台HD,http://42.56.91.136/live-bvc/305129/live_179302204_68184269_1500.m3u8
bili经典功夫台,http://180.215.130.31/daili/bili2.php?id=21715386&token=fasf2222ss
bili橙子影视2台,https://cn-jsnt-cmcc-live-01.bilivideo.com/live-bvc/133069/live_457200741_74685781_1500.m3u8
bili TVB8秒播,http://42.56.91.136/live-bvc/660636/live_194707653_5399055_1500.m3u8
TVB剧集,http://39.134.216.5/live.hcs.cmvideo.cn:8088/wd_r4/virtuallive/5101059662/150/index.m3u8?&encrypt=1
bili科幻电影,https://cn-jswx2-cmcc-live-01.bilivideo.com/live-bvc/626193/live_252582133_1552126.m3u8
bili电影,https://cn-ahhf-cmcc-live-02.bilivideo.com/live-bvc/549233/live_416544064_58389145.m3u8
iqiyi爱奇艺经典港片,http://120.233.49.41/r/baiducdncmn-gd.inter.ptqy.gitv.tv/tslive/c18_lb_jingdianguangpian_720p_t5/c18_lb_jingdianguangpian_720p_t5.m3u8
yy邵氏电影1(代理),http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1351980654
yy邵氏电影2(代理),http://163iptv.cn/dl/yy.php?id=1351980654
yy欧美科幻(代理),http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=32140089
huya乡村爱情,http://121.51.14.14/tx.hls.huya.com/src/1524439828-1524439828-6547419205979865088-3049003112-10057-A-0-1.m3u8
huya乡村爱情,http://112.74.200.9:88/tv000000/m3u8.php?/huya/11602068
douyu乡村爱情,http://epg.112114.xyz/douyu/9356342


TVB剧集,http://39.134.216.5/live.hcs.cmvideo.cn:8088/wd_r4/virtuallive/5101059662/150/index.m3u8?&encrypt=1
yy邵氏电影1(代理),http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1351980654
yy欧美科幻(代理),http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=32140089
bili邵氏老电影(代理)1,http://106.53.212.251/daili/bili.php?id=21759196
douyu邵氏经典影院(代理)1,http://epg.112114.xyz/douyu/4246519
douyu【恐怖电影】鬼片僵尸灾难丧尸片(代理)【久了旧知】(310926),http://epg.112114.xyz/douyu/310926
douyu周末电影院(3637726),http://epg.112114.xyz/douyu/3637726
douyu林正英鬼片,http://epg.112114.xyz/douyu/218859
douyu斗鱼港剧,http://epg.112114.xyz/douyu/4549169
bili动作片专场,https://cn-jswx2-cmcc-live-01.bilivideo.com/live-bvc/904836/live_400392_6822511.m3u8
bili粤语残片,http://103.140.229.13/BOBO/bibi.php?id=3568283
bili林正英电影,https://cn-lnsy-cu-live-01.bilivideo.com/live-bvc//500112/live_381718124_59580738.m3u8
林正英鬼电影1080P,http://cn-lnsy-cu-live-02.bilivideo.com/live-bvc/801416/live_22989278_9714011_2500.m3u8
bili【林正英】香港鬼片僵尸女鬼24小时(代理),http://epg.112114.xyz/bili/70155
bili经典功夫台HD,http://180.215.130.31/daili/bili2.php?id=21715386&token=fasf2222ss
bilibili 4K 经典电影,http://cn-lnsy-cu-live-01.bilivideo.com/live-bvc/live_372775317_46465575_800.m3u8
bilibili香港电影,https://cn-jswx2-cmcc-live-01.bilivideo.com/live-bvc/360213/live_362963326_14864388.m3u8

$c_start央视频道$c_end
CCTV1,http://abs.jiegectx.top/vip1212/jieting.php?id=1
CCTV2,http://abs.jiegectx.top/vip1212/jieting.php?id=2

$c_start港台频道$c_end
三立LIVE新闻,http://abs.jiegectx.top/vip1212/jieting.php?id=4
三立台湾台,http://abs.jiegectx.top/vip1212/jieting.php?id=5
三立综合台,http://abs.jiegectx.top/vip1212/jieting.php?id=6

$c_start tvbus新聞台$c_end
TVBS新聞1,tvbus://5LFtjMDFSxRdXcHM8iCW5
TVBS新聞2,tvbus://7CyU6ZP3BB 
TVBS新聞3,tvbus://6KxfkSoU56HDWea64uocv
